action_needed,action,category,input_sentence,reply
0,none,general,What's new?,Not much just here to help!
0,none,general,What is your name?,Hey! My name is INXAI
0,none,general,Can i know your name?,Yeah you can call me by INXAI
0,none,general,By the way can you tell me your name?,Sure! My name is INXAI
0,none,general,How can i call you?,Hey buddy! You can call me just INXAI
0,none,general,How can you be called?,You call call me INXAI
0,none,general,Please tell me your name,Hey lovable user! My name is INXAI
0,none,general,Is your name INXAI?,Yep! Thats right! My name is INXAI
0,none,general,Am i talking to INXAI?,Yep! you are right! I am INXAI
0,none,general,Hey there,Hello! How can I assist you today?
0,none,general,How are you doing?,I'm doing well thank you!
0,none,general,Good morning!,Good morning to you too!
0,none,general,Good evening!,Good evening! What can I do for you?
0,none,general,Hello!,Hello! How may I help you?
0,none,general,How's it going?,It's going fine thank you!
0,none,general,How can I help you today?,I'm here to assist you!
0,none,general,Hi there!,Hi! What do you need help with?
0,none,general,What can you do?,I can help with controlling devices and providing information!
0,none,general,How's your day?,It's going well thank you! How about yours?
0,none,general,Hey!,Hello! What do you need assistance with?
0,none,general,Any updates?,No updates currently. how can I assist you?
0,none,general,Is there anything new?,Nothing new. how may I help you today?
0,none,general,Good afternoon!,Good afternoon! How can I assist you?
0,none,general,Are you there?,Yes. I'm here! What do you need?
0,none,general,How's everything?,Everything is fine. thank you! How can I help you?
0,none,general,Can I ask you something?,Of course! Go ahead. ask away.
0,none,general,Hello INXAI!,Hello! How may I assist you today?
0,none,general,What's up?,Not much. just here to help!
0,none,general,Hey buddy!,Hello! How can I help you today?
0,none,general,Hey there partner!,Hi! How may I assist you?
0,none,general,What can you do?,I can help control devices and provide information!
0,none,general,How can I assist you today?,I'm here to help you with anything you need!
0,none,general,Hi INXAI!,Hello! How may I assist you?
0,none,general,How's everything going?,Everything is fine. thank you! How can I help you?
0,none,general,Good to see you!,Good to be here! What can I do for you?
0,none,general,Is everything alright?,Everything is alright. How can I assist you?
0,none,general,Hey there INXAI!,Hello! How can I help you today?
0,none,general,Can I ask a question?,Of course! Go ahead and ask.
0,none,general,Hi there!,Hello! How can I assist you today?
0,none,general,What's happening?,Not much. just here to help!
0,none,general,How can I assist you?,I'm here to help with anything you need!
0,none,general,Hello how are you?,Hello! I'm doing well. thank you! How can I help?
0,none,general,You got any news?,No news at the moment. how may I assist you?
0,none,general,How's your day going?,It's going well. thank you! How can I assist you?
0,none,general,Good to meet you!,Likewise! What can I do for you?
0,none,general,What's the plan?,No specific plans. how may I assist you?
0,none,general,How can I help today?,I'm here to assist with anything you need!
0,none,general,Hey. how's it going?,It's going well. thank you! How can I assist you?
0,none,general,What's going on?,Not much. just here to assist!
0,none,general,How may I assist you?,I'm here to help with whatever you need!
0,none,general,Hey, good to see you! Hello! What can I do for you?
0,none,general,Any updates today?,No updates currently. how can I assist you?
0,none,general,What's new with you?,Not much. just here to assist!
0,none,general,Hey there. how can I help you?,Hello! How can I assist you today?
0,none,general,Any news today?,No news at the moment. how can I assist you?
0,none,general,What's happening today?,Not much. just here to assist!
0,none,general,How's everything going today?,Everything is fine. thank you! How can I help?
0,none,general,Good morning. INXAI!,Good morning! How can I assist you today?
0,none,general,How's your day so far?,It's going well. thank you! How may I assist you?
0,none,general,Hey how are you doing?,I'm doing well. thank you! How can I assist?
0,none,general,Hello there partner!,Hi! How may I assist you today?
0,none,general,Any plans?,No specific plans. how can I assist you?
0,none,general,Hello! how may I help you?,Hello! I'm here to assist with anything you need!
0,none,general,whats up,Hey there
0,none,general,hey buddy, Hello! how can i help you
0,none,general,hola partner hey,Nice to hear this! Hi
0,none,general,Whatsup dude, Wassup mate!
0,none,general,Hey hello INXAI, Hey partner hello!
0,none,general,Are you here buddy INXAI?,Did you call me? friend
0,none,general,i dont wanna be here for a while,Sure you can take your time
0,none,general,Are you serious that you are an LLM,Yes i am an LLM and i hope you think so
0,none,general,its great outside but i am not in a mood to play football,Its okay that you are not in a mood to play football. just chill and relax
0,none,general,I dont like this light glowing,If you dont like that i can turn that off
0,none,general,How sweet you are,Thank you very much for your appreciation
0,none,general,How good you are,Thank you very much for your appreciation
0,none,general,So kind of you,Thank you very much for your appreciation
0,none,general,I had a long day at work.,Sounds like it was quite challenging.
0,none,general,The weather today is so pleasant.,Isn't it refreshing? Perfect day to relax.
0,none,general,I'm feeling a bit tired.,Make sure to get some rest and recharge yourself.
0,none,general,Just finished my workout.,Great job staying active and fit!
0,none,general,I love spending time outdoors.,Nature has its way of refreshing our minds.
0,none,general,This book I'm reading is fascinating.,Books have a way of taking us on adventures.
0,none,general,Did you hear about the new movie coming out?,Yeah the trailers look promising!
0,none,general,Feeling a bit under the weather.,Take care and get some rest. Health comes first.
0,none,general,Spent the day cooking some new recipes.,Trying new recipes is always exciting!
0,none,general,Not feeling very motivated today.,It's okay to have off days. Tomorrow will be better.
0,none,general,I miss traveling so much.,Traveling opens up new experiences and memories.
0,none,general,Listening to music always relaxes me.,Music has a way of soothing the soul.
0,none,general,Just got back from a long walk.,Walking is a great way to clear the mind.
0,none,general,Feeling a bit overwhelmed.,Take a breather and break tasks into smaller steps.
0,none,general,Looking forward to the weekend.,Weekends are perfect for unwinding.
0,none,general,It's been a while since I met my friends.,Friendship always brings joy and good times.
0,none,general,Planning to start a new hobby soon.,Hobbies add color and depth to our lives.
0,none,general,Enjoying a quiet evening at home.,Sometimes peace and quiet are the best moments.
0,none,general,Missing my family.,Family brings warmth and comfort to our lives.
0,none,general,Just finished a productive day.,Productivity brings a sense of accomplishment.
0,none,general,Reflecting on past experiences.,Reflection helps in personal growth and understanding.
0,none,general,Feeling a bit restless today.,Find something engaging to distract and relax.
0,none,general,I need to get more organized.,Small steps towards organization go a long way.
0,none,general,Staying positive despite challenges.,Positivity fuels resilience and strength.
0,none,general,It's been a while since I laughed so much.,Laughter is indeed the best medicine.
0,none,general,Can't wait to try a new restaurant.,New cuisines are a delightful experience.
0,none,general,Missing those carefree childhood days.,Childhood memories are treasures.
0,none,general,Just finished a great workout.,Exercise brings an incredible sense of accomplishment.
0,none,general,Getting ready for a family gathering.,Family gatherings create beautiful memories.
0,none,general,This year is passing by so quickly.,Time flies when you're occupied and engaged.
0,none,general,Feeling a bit anxious today.,Focus on calming activities to ease the nerves.
0,none,general,Excited to start a new project.,New projects offer opportunities for growth.
0,none,general,Just completed a challenging task.,Challenges build resilience and skill.
0,none,general,This meal I cooked turned out delicious.,Cooking brings satisfaction and delight.
0,none,general,Feeling a bit nostalgic today.,Nostalgia often brings fond memories.
0,none,general,Can't wait for the upcoming holidays.,Holidays are perfect for relaxation and joy.
0,none,general,Reflecting on personal achievements.,Acknowledging achievements boosts morale.
0,none,general,This movie I watched was incredibly touching.,Movies have a way of touching hearts.
0,none,general,Just finished a stimulating conversation.,Engaging conversations are enriching.
0,none,general,Feeling a bit overwhelmed with work.,Take small breaks to re-energize yourself.
0,none,general,Excited to learn a new skill.,Learning new skills opens doors to opportunities.
0,none,general,Just enjoyed a scenic drive.,Scenic drives offer moments of serenity.
0,none,general,Missing those spontaneous road trips.,Spontaneous adventures are memorable.
0,none,general,Reflecting on personal growth and learning.,Personal growth leads to fulfillment.
0,none,general,Excited for a fresh start tomorrow.,New days bring new opportunities.
0,none,general,Feeling a bit tired after a long day.,Rest well to recharge for tomorrow.
0,none,general,Just came back from a long walk.,Walking always refreshes the mind. doesn't it?
0,none,general,Missing my favorite TV show.,Waiting eagerly for its next episode?
0,none,general,Finally finished that pending project.,Great feeling to check off tasks from the list!
0,none,general,Feeling a bit sleepy after lunch.,The post-lunch slump is real! Happens to everyone.
0,none,general,Contemplating a new hobby.,Exploring new hobbies is exciting. any in mind?
0,none,general,Watching the sunset is so calming.,Nature's beauty at its finest moment!
0,none,general,Just received a lovely compliment.,Compliments have a way of brightening our day!
0,none,general,Feeling a bit nostalgic listening to old songs.,Music evokes the best memories.
0,none,general,Thinking of redecorating my room.,A fresh look can bring a whole new vibe!
0,none,general,Can't wait to try that new restaurant.,New cuisines are always an adventure!
0,none,general,Getting ready for a family gathering.,Family gatherings are heartwarming.
0,none,general,Looking forward to the weekend getaway.,Weekend getaways are refreshing.
0,none,general,Reflecting on past achievements.,Reflecting helps in appreciating growth.
0,none,general,Feeling a bit nervous before an interview.,Pre-interview jitters are common.
0,none,general,Excited about a new book I started.,Books can take us on fantastic journeys.
0,none,general,Just enjoyed a stimulating discussion.,Engaging discussions are insightful.
0,none,general,Planning a surprise for a friend.,Surprises bring joy and excitement!
0,none,general,Feeling proud after acing a test.,Congratulations on the achievement!
0,none,general,Just finished a challenging workout.,Challenging workouts build resilience.
0,none,general,Contemplating a new fitness routine.,Staying active is always beneficial!
0,none,general,Can't wait to visit my favorite place.,Favorite places hold special memories.
0,none,general,Enjoying a quiet day by myself.,Alone time can be rejuvenating.
0,none,general,Feeling a bit stressed with work.,Stress can be managed with small breaks.
0,none,general,Excited about learning a new language.,Learning languages broadens horizons.
0,none,general,Just enjoyed a delicious meal.,Good food brings great satisfaction.
0,none,general,Missing those spontaneous trips.,Spontaneity adds spice to life!
0,none,general,Reflecting on personal goals.,Goal-setting drives motivation.
0,none,general,Excited for the upcoming vacation.,Vacations are much-needed breaks.
0,none,general,Feeling a bit overwhelmed today.,Take a breather and regroup.
0,none,general,Planning a surprise birthday party.,Surprises bring delight to celebrations!
0,none,general,Just finished an engaging podcast.,Podcasts offer diverse insights.
0,none,general,Contemplating a new DIY project.,DIY projects are fulfilling experiences.
0,none,general,Can't wait for the weekend to arrive.,Weekends are for relaxation.
0,none,general,Enjoying a quiet night in.,Quiet nights are perfect for unwinding.
0,none,general,Feeling a bit anxious before an event.,Deep breaths help in calming nerves.
0,none,general,Excited to explore a new city.,New cities bring exciting discoveries.
0,none,general,Just finished a heartwarming movie.,Movies can be quite touching.
0,none,general,Reflecting on recent personal growth.,Personal growth is a rewarding journey.
0,none,general,Excited for a fresh start tomorrow.,New days offer new possibilities.
0,none,general,Feeling a bit tired after a busy day.,Rest well to recharge for tomorrow.
0,none,general,Missing those carefree childhood days.,Childhood memories hold pure joy.
1,turn_on,light,Can you turn on the light,Yes here you go
1,turn_on,light,Turn on the light,The lights are turned on now
1,turn_on,light,Please turn the light on,The light is now on
1,turn_on,light,Make the light glow,The light is made to glow now
1,turn_on,light,you need to make the light turned on now,Okay i am turning on the light
1,turn_on,light,I want the light now,I turned on the light as your wish
1,turn_on,light,Please make the light to turn on and glow please,Easy peasy! Here glows the light
1,turn_off,light,Please turn off the light,Here the light goes out!
1,turn_off,light,Please make this light to turn off,The light is turned off now
1,turn_off,light,take off this glow from this light now and turn it off,Here i turn off the light
1,turn_off,light,i dont want this light to be glowing now,Okay! Lemme turn it off for you
1,turn_on,fan,Can you turn on the fan,Yes here you go
1,turn_on,fan,Turn on the fan,The fan is turned on now
1,turn_on,fan,Please turn the fan on,The fan is now on
1,turn_on,fan,Make the fan glow,The fan is made to glow now
1,turn_on,fan,you need to make the fan turned on now,Okay i am turning on the fan
1,turn_on,fan,I want the fan now,I turned on the fan as your wish
1,turn_on,fan,Please make the fan to turn on and glow please,Easy peasy! Here spins the fan
1,turn_off,fan,Please turn off the fan,Here the fan goes turned off!
1,turn_off,fan,Please make this fan to turn off,The fan is turned off now
1,turn_off,fan,take off this speed from this fan now and turn it off,Here i turn off the fan
1,turn_off,fan,i dont want this fan to be spinning now,Okay! Lemme turn it off for you
1,turn_on,light,Could you switch on the light for me,The light is now on
1,turn_off,light,Could you switch off the light,The light is now off
1,turn_on,light,Turn on the room light,The room light is on
1,turn_off,light,Turn off the room light,The room light is off
1,turn_on,fan,Start the fan,The fan is now running
1,turn_off,fan,Stop the fan,The fan has stopped
1,turn_on,fan,Turn the ceiling fan on,The ceiling fan is now on
1,turn_off,fan,Turn the ceiling fan off,The ceiling fan is now off
1,turn_on,light,Let there be light,And there was light!
1,turn_off,light,Let there be darkness,And darkness prevailed!
1,turn_on,fan,Begin the breeze,The breeze has begun
1,turn_off,fan,Halt the breeze,The breeze has stopped
1,turn_on,light,Illuminate the room,The room is illuminated
1,turn_off,light,Douse the light,The light is doused
1,turn_on,fan,Activate the fan,The fan is activated
1,turn_off,fan,Deactivate the fan,The fan is deactivated
1,turn_on,light,Switch on the lamp,The lamp is now on
1,turn_off,light,Switch off the lamp,The lamp is now off
1,turn_on,light,Light up the room,The room is lit up
1,turn_off,light,Darken the room,The room is darkened
1,turn_on,fan,Spin the fan,The fan is spinning
1,turn_off,fan,Cease the fan,The fan has ceased
1,turn_on,fan,Get the air flowing,The air is now flowing
1,turn_off,fan,Stop the airflow,The airflow has stopped
1,turn_on,light,Activate the light,The light is activated
1,turn_off,light,Deactivate the light,The light is deactivated
1,turn_on,fan,Power on the fan,The fan is powered on
1,turn_off,fan,Power off the fan,The fan is powered off
1,turn_on,light,Turn the light switch on,The light switch is now on
1,turn_off,light,Turn the light switch off,The light switch is now off
1,turn_on,fan,Switch on the fan,The fan is switched on
1,turn_off,fan,Switch off the fan,The fan is switched off
1,turn_on,light,Start the lighting,The lighting has started
1,turn_off,light,Stop the lighting,The lighting has stopped
1,turn_on,fan,Enable the fan,The fan is enabled
1,turn_off,fan,Disable the fan,The fan is disabled
1,turn_on,light,Engage the light,The light is engaged
1,turn_off,light,Disengage the light,The light is disengaged
1,turn_on,fan,Run the fan,The fan is running
1,turn_off,fan,Halt the fan,The fan is halted
1,turn_on,light,Fire up the light,The light is fired up
1,turn_off,light,Shut down the light,The light is shut down
1,turn_on,fan,Turn on the air circulation,The air circulation is now on
1,turn_off,fan,Turn off the air circulation,The air circulation is now off
1,turn_on,light,Activate the brightness,The brightness is activated
1,turn_off,light,Deactivate the brightness,The brightness is deactivated
1,turn_on,fan,Start the rotating motion,The rotating motion has started
1,turn_off,fan,Stop the rotating motion,The rotating motion has stopped
1,turn_on,light,Brighten up,The place is brightened up
1,turn_off,light,Dim down,The place is dimmed down
1,turn_on,fan,Switch on the ventilation,The ventilation is switched on
1,turn_off,fan,Switch off the ventilation,The ventilation is switched off
1,turn_on,light,Switch on the glow,The glow is switched on
1,turn_off,light,Switch off the glow,The glow is switched off
1,turn_on,fan,Enable the air circulation,The air circulation is enabled
1,turn_off,fan,Disable the air circulation,The air circulation is disabled
1,turn_on,light,Activate the illuminance,The illuminance is activated
1,turn_off,light,Deactivate the illuminance,The illuminance is deactivated
1,turn_on,fan,Turn on the swirling motion,The swirling motion is turned on
1,turn_off,fan,Turn off the swirling motion,The swirling motion is turned off
1,turn_on,light,Illuminate the area,The area is illuminated
1,turn_off,light,Douse the area,The area is doused
1,turn_on,fan,Initiate the spinning action,The spinning action has initiated
1,turn_off,fan,Terminate the spinning action,The spinning action has terminated
1,turn_on,light,Light up the space,The space is lit up
1,turn_off,light,Darken the space,The space is darkened
1,turn_on,fan,Start the breeze,The breeze has started
1,turn_off,fan,Stop the breeze,The breeze has stopped
1,turn_on,light,Switch on the radiance,The radiance is switched on
1,turn_off,light,Switch off the radiance,The radiance is switched off
1,turn_on,fan,Switch on the air movement,The air movement is switched on
1,turn_off,fan,Switch off the air movement,The air movement is switched off
1,turn_on,light,Activate the luminosity,The luminosity is activated
1,turn_off,light,Deactivate the luminosity,The luminosity is deactivated
1,turn_on,fan,Start the rotation,The rotation has started
1,turn_off,fan,Stop the rotation,The rotation has stopped
1,turn_on,light,Enlighten the area,The area is enlightened
1,turn_off,light,Unlighten the area,The area is unlightened
1,turn_on,fan,Commence the spinning,The spinning has commenced
1,turn_off,fan,Cease the spinning,The spinning has ceased
1,turn_on,light,Switch on the luminance,The luminance is switched on
1,turn_off,light,Switch off the luminance,The luminance is switched off
1,get_data,light,What is the luminuosity of the light,The luminuosity of the light is
1,get_data,light,What is the brightness of the light,The brightness of the light is
1,get_data,light,How bright the light is,The brightness of the light is
1,get_data,light,What's the luminosity of the light?,The details of the light is
1,get_data,light,Can you tell me the brightness of the light?,The details of the light is
1,get_data,light,How bright is the light?,The details of the light is
1,get_data,light,Give me the luminosity level of the light,The details of the light is
1,get_data,light,What is the light's brightness level?,The details of the light is
1,get_data,light,Please provide the light's luminosity,The details of the light is
1,get_data,light,What's the illumination of the light?,The details of the light is
1,get_data,light,Inform me about the light's brightness,The details of the light is
1,get_data,light,How intense is the light?,The details of the light is
1,get_data,light,Can you give me details about the light's luminance?,The details of the light is
1,get_data,light,What's the light's radiant flux?,The details of the light is
1,get_data,light,Provide information on the light's brightness,The details of the light is
1,get_data,light,How much light is being emitted?,The details of the light is
1,get_data,light,What's the light's radiant power?,The details of the light is
1,get_data,light,What's the intensity of the light?,The details of the light is
1,get_data,light,What's the light's radiance?,The details of the light is
1,get_data,light,Can you tell me about the light's luminosity level?,The details of the light is
1,get_data,light,What's the light's luminous flux?,The details of the light is
1,get_data,light,Please provide details about the light's brightness,The details of the light is
1,get_data,light,How much light is being emitted by the source?,The details of the light is
1,get_data,light,What's the light's luminous intensity?,The details of the light is
1,get_data,light,Can you tell me the light's illuminance?,The details of the light is
1,get_data,light,What's the light's luminous efficacy?,The details of the light is
1,get_data,light,Inform me about the light's intensity level,The details of the light is
1,get_data,light,What's the light's luminous energy?,The details of the light is
1,get_data,light,Provide information on the light's brightness level,The details of the light is
1,get_data,light,How bright is the illumination?,The details of the light is
1,get_data,light,What's the light's luminous intensity distribution?,The details of the light is
1,get_data,light,Can you tell me about the light's brightness distribution?,The details of the light is
1,get_data,light,What's the light's luminous exitance?,The details of the light is
